year,month,Produto,Avg_Valor de Venda
2019,10,GNV,3.25484249830278
2019,11,DIESEL,3.72486019936787
2019,11,DIESEL S10,3.80577773142111
2019,11,ETANOL,3.2053057583523
2019,11,GASOLINA,4.4463928986442
2019,11,GNV,3.26255222672064
2019,12,DIESEL,3.74621174416069
2019,12,DIESEL S10,3.8281533584489
2019,12,ETANOL,3.31631927915681
2019,12,GASOLINA,4.55750026689023
2019,12,GNV,3.27729502452697
2019,7,DIESEL,3.55805323499833
2019,7,DIESEL S10,3.64881332519929
2019,7,ETANOL,3.07030462032949
2019,7,GASOLINA,4.39373138582096
2019,7,GNV,3.22419013062408
2019,8,DIESEL,3.53979240131066
2019,8,DIESEL S10,3.63049000504797
2019,8,ETANOL,3.10254165310023
2019,8,GASOLINA,4.36289744545183
2019,8,GNV,3.22361186848435
2019,9,DIESEL,3.60674827304465
2019,9,DIESEL S10,3.68943529469022
2019,9,ETANOL,3.1230246274369
2019,9,GASOLINA,4.36966779782805
2019,9,GNV,3.23959247648902
2020,1,DIESEL,3.79652138050795
2020,1,DIESEL S10,3.87263436103042
2020,1,ETANOL,3.42936653264576
2020,1,GASOLINA,4.61628550546223
2020,1,GNV,3.27103455571227
2020,10,DIESEL,3.5826402349486
2020,10,DIESEL S10,3.62540495867767
2020,10,ETANOL,3.28798757763973
2020,10,GASOLINA,4.39095106382979
2020,10,GNV,2.94588492063492
2020,11,DIESEL,3.55610285053929
2020,11,DIESEL S10,3.62440915032679
2020,11,ETANOL,3.3340542569769
2020,11,GASOLINA,4.40362572721392
2020,11,GNV,2.96012674271229
2020,12,DIESEL,3.64288020698578
2020,12,DIESEL S10,3.70556701509872
2020,12,ETANOL,3.3995586586484
2020,12,GASOLINA,4.4741708333334
2020,12,GNV,3.12131630648328
2020,2,DIESEL,3.73129099363683
2020,2,DIESEL S10,3.81377433856963
2020,2,ETANOL,3.45161513013874
2020,2,GASOLINA,4.58772668962536
2020,2,GNV,3.26212711864406
2020,3,DIESEL,3.60022059148906
2020,3,DIESEL S10,3.68831451240886
2020,3,ETANOL,3.42709803074796
2020,3,GASOLINA,4.50715298407199
2020,3,GNV,3.25285826210825
2020,4,DIESEL,3.31674005092763
2020,4,DIESEL S10,3.41390677770066
2020,4,ETANOL,3.08135730787678
2020,4,GASOLINA,4.1162971827186
2020,4,GNV,3.23941869300911
2020,5,DIESEL,3.0620164043082
2020,5,DIESEL S10,3.16546206503152
2020,5,ETANOL,2.85518507897941
2020,5,GASOLINA,3.84905495315754
2020,5,GNV,3.17368189368769
2020,6,DIESEL,3.08114171788122
2020,6,DIESEL S10,3.17666850929699
2020,6,ETANOL,2.91833713723994
2020,6,GASOLINA,3.98615580249734
2020,6,GNV,3.1409751596877
2020,7,DIESEL,3.25655209103001
2020,7,DIESEL S10,3.34181397188867
2020,7,ETANOL,3.021129510563
2020,7,GASOLINA,4.16627037672567
2020,7,GNV,3.11057234042551
2020,8,DIESEL,3.37070836591087
2020,8,DIESEL S10,3.4468597027365
2020,8,ETANOL,3.0403882151332
2020,8,GASOLINA,4.26231176298046
2020,8,GNV,3.07530721003133
